connectionId_x,alias,sentBeepId,timeStampStart,typed,valence,arousal,positive_all_words_lemm,positive_all_words_count_lemm,positive_unique_words_lemm,positive_unique_wordcount_lemm,positive_granularity_lemm,negative_all_words_lemm,negative_all_words_count_lemm,negative_unique_words_lemm,negative_unique_wordcount_lemm,negative_granularity_lemm,positive_emotion_all_lemma_count_Shannons,positive_emotion_unique_count_Shannons,unique positive emotion lemmas_Shannons,positive_diversity_Shannons_lem,negative_emotion_all_lemma_count_Shannons,negative_emotion_unique_count_Shannons,unique negative emotion lemmas_Shannons,negative_diversity_Shannons_lem,Segment,WC,posemo,negemo
179067,!jukj haum,14276970,1693760112,1,-20,-22,"['grappig', 'blij']",2,"['grappig', 'blij']",2,0.167685888,"['frustreren', 'vervelend']",2,"['frustreren', 'vervelend']",2,0.223658873,2,2,"['grappig', 'blij']",0.693147181,2,2,"['vervelend', 'frustreren']",0.693147181,1,72,4.17,4.17
179067,!jukj haum,14280612,1693783293,1,45,15,"['blij', 'gerust', 'goed']",3,"['blij', 'gerust', 'goed']",3,0.085536393,[],0,[],0,,3,3,"['gerust', 'goed', 'blij']",1.098612289,0,0,[],0,1,38,5.26,0
179067,!jukj haum,14286054,1693822202,0,31,39,"['wakker', 'vrij', 'energiek', 'tof', 'hopen', 'warm', 'goed', 'warmte', 'energiek', 'zin']",10,"['wakker', 'vrij', 'energiek', 'tof', 'hopen', 'warm', 'goed', 'warmte', 'zin']",9,0.040152728,"['woelig', 'pijn', 'slecht', 'slecht']",4,"['woelig', 'pijn', 'slecht']",3,0.057917488,10,9,"['zin', 'energiek', 'goed', 'vrij', 'warmte', 'warm', 'wakker', 'tof', 'hopen']",2.163955657,4,3,"['slecht', 'woelig', 'pijn']",1.039720771,1,200,4.5,2
179067,!jukj haum,14287608,1693835967,0,17,16,['goed'],1,['goed'],1,,"['stressen', 'verdrietig', 'slecht', 'stressen', 'rot']",5,"['stressen', 'verdrietig', 'slecht', 'rot']",4,0.050569106,1,1,['goed'],0,5,4,"['slecht', 'rot', 'stressen', 'verdrietig']",1.33217904,1,144,0.69,2.78
179067,!jukj haum,14290995,1693862632,1,-40,-15,[],0,[],0,,"['kwaad', 'lastig', 'angstig', 'bang', 'kwaad', 'verdrietig']",6,"['kwaad', 'lastig', 'angstig', 'bang', 'verdrietig']",5,0.023468201,0,0,[],0,6,5,"['lastig', 'bang', 'angstig', 'verdrietig', 'kwaad']",1.560710409,1,59,0,8.47
179067,!jukj haum,14299020,1693923825,1,45,50,"['fantastisch', 'genieten', 'actief']",3,"['fantastisch', 'genieten', 'actief']",3,0.094599852,['rot'],1,['rot'],1,,3,3,"['fantastisch', 'genieten', 'actief']",1.098612289,1,1,['rot'],0,1,30,6.67,0
179067,!jukj haum,14300163,1693934182,1,33,27,"['gelukkig', 'dankbaar', 'dankbaar']",3,"['gelukkig', 'dankbaar']",2,0.052576832,[],0,[],0,,3,2,"['dankbaar', 'gelukkig']",0.636514168,0,0,[],0,1,61,6.56,0
179067,!jukj haum,14301126,1693944416,1,19,21,"['blij', 'leuk', 'ontspannend', 'goed']",4,"['blij', 'leuk', 'ontspannend', 'goed']",4,0.062824478,[],0,[],0,,4,4,"['goed', 'leuk', 'ontspannend', 'blij']",1.386294361,0,0,[],0,1,27,18.52,0
179067,!jukj haum,14308638,1693992828,1,-11,11,"['goed', 'uit_rusten', 'wakker']",3,"['goed', 'uit_rusten', 'wakker']",3,0.07198429,"['pijn', 'ongerust', 'ambetant']",3,"['pijn', 'ongerust', 'ambetant']",3,0.077140346,3,3,"['uit_rusten', 'goed', 'wakker']",1.098612289,3,3,"['ambetant', 'ongerust', 'pijn']",1.098612289,1,65,3.08,1.54
179067,!jukj haum,14310402,1694011481,1,-27,-19,"['vrij', 'goed', 'zin']",3,"['vrij', 'goed', 'zin']",3,0.088938522,['spanning'],1,['spanning'],1,,3,3,"['zin', 'goed', 'vrij']",1.098612289,1,1,['spanning'],0,1,56,3.57,1.79
179067,!jukj haum,14311527,1694021921,0,-16,-43,"['zin', 'content']",2,"['zin', 'content']",2,0.152017489,[],0,[],0,,2,2,"['zin', 'content']",0.693147181,0,0,[],0,1,122,0.82,0.82
179067,!jukj haum,14314731,1694039838,1,9,-8,['leuk'],1,['leuk'],1,,"['ergernis', 'zenuwachtig']",2,"['ergernis', 'zenuwachtig']",2,0.10174076,1,1,['leuk'],0,2,2,"['zenuwachtig', 'ergernis']",0.693147181,1,48,0,2.08
179067,!jukj haum,14320446,1694081884,0,-50,-50,[],0,[],0,,"['boos', 'verschrikkelijk', 'teleur_stellen', 'verdrietig', 'kwaad', 'verdrietig', 'beschaamd', 'pijn']",8,"['boos', 'verschrikkelijk', 'teleur_stellen', 'verdrietig', 'kwaad', 'beschaamd', 'pijn']",7,0.0262812,0,0,[],0,8,7,"['beschaamd', 'verschrikkelijk', 'boos', 'verdrietig', 'teleur_stellen', 'kwaad', 'pijn']",1.906154747,1,56,0,16.07
179067,!jukj haum,14323302,1694109233,1,2,-14,['warmte'],1,['warmte'],1,,"['inspanning', 'haten']",2,"['inspanning', 'haten']",2,0.155676986,1,1,['warmte'],0,2,2,"['inspanning', 'haten']",0.693147181,1,29,6.9,3.45
179067,!jukj haum,14324100,1694115857,0,-50,-50,[],0,[],0,,"['kwaad', 'verdriet', 'teleur_stellen']",3,"['kwaad', 'verdriet', 'teleur_stellen']",3,0.043028343,0,0,[],0,3,3,"['teleur_stellen', 'verdriet', 'kwaad']",1.098612289,1,106,1.89,4.72
179067,!jukj haum,14331744,1694167417,0,29,33,"['grappig', 'content', 'tevreden', 'blij', 'goed', 'genieten', 'goed', 'tof', 'dankbaar']",9,"['grappig', 'content', 'tevreden', 'blij', 'goed', 'genieten', 'tof', 'dankbaar']",8,0.028001818,[],0,[],0,,9,8,"['tevreden', 'genieten', 'dankbaar', 'goed', 'grappig', 'content', 'blij', 'tof']",2.043191871,0,0,[],0,1,170,4.71,0
179067,!jukj haum,14332890,1694176831,1,19,30,"['goed', 'blij', 'leuk', 'dankbaar']",4,"['goed', 'blij', 'leuk', 'dankbaar']",4,0.046272972,[],0,[],0,,4,4,"['dankbaar', 'goed', 'leuk', 'blij']",1.386294361,0,0,[],0,1,33,15.15,0
179067,!jukj haum,14334291,1694195416,0,14,-24,"['tof', 'tof', 'benieuwd', 'zin', 'zin', 'blij']",6,"['tof', 'benieuwd', 'zin', 'blij']",4,0.043520421,"['stress', 'spanning']",2,"['stress', 'spanning']",2,0.069458013,6,4,"['zin', 'benieuwd', 'blij', 'tof']",1.329661349,2,2,"['stress', 'spanning']",0.693147181,1,129,1.55,1.55
179067,!jukj haum,14335857,1694205236,0,10,-18,"['goed', 'lekker', 'blij', 'wakker', 'ça_va', 'spannend', 'goed', 'goed', 'gezond', 'goed']",10,"['goed', 'lekker', 'blij', 'wakker', 'ça_va', 'spannend', 'gezond']",7,0.024520893,"['spanning', 'stress', 'stress']",3,"['spanning', 'stress']",2,0.024162786,10,7,"['spannend', 'goed', 'gezond', 'blij', 'wakker', 'lekker', 'ça_va']",1.748067349,3,2,"['stress', 'spanning']",0.636514168,1,170,3.53,1.76
179067,!jukj haum,14345949,1694256389,1,31,37,"['zin', 'goed']",2,"['zin', 'goed']",2,0.179390573,['zenuwachtig'],1,['zenuwachtig'],1,,2,2,"['zin', 'goed']",0.693147181,1,1,['zenuwachtig'],0,1,25,4,0
179067,!jukj haum,14347164,1694267429,1,50,36,"['leuk', 'dankbaar', 'verliefd', 'blij']",4,"['leuk', 'dankbaar', 'verliefd', 'blij']",4,0.042056448,['pittig'],1,['pittig'],1,,4,4,"['dankbaar', 'leuk', 'blij', 'verliefd']",1.386294361,1,1,['pittig'],0,1,57,7.02,0
179067,!jukj haum,14348319,1694275108,0,50,26,"['nice', 'geweldig', 'goed', 'top', 'zeker', 'gerust', 'content']",7,"['nice', 'geweldig', 'goed', 'top', 'zeker', 'gerust', 'content']",7,0.050677978,['moe'],1,['moe'],1,,7,7,"['geweldig', 'gerust', 'goed', 'content', 'zeker', 'top', 'nice']",1.945910149,1,1,['moe'],0,1,158,1.9,0.63
179067,!jukj haum,14351928,1694297263,1,21,-19,"['goed', 'leuk', 'ontspannend']",3,"['goed', 'leuk', 'ontspannend']",3,0.088310848,[],0,[],0,,3,3,"['goed', 'leuk', 'ontspannend']",1.098612289,0,0,[],0,1,28,10.71,0
179067,!jukj haum,14359560,1694348133,0,13,-11,"['warm', 'tof', 'goed', 'goed', 'warm', 'tof']",6,"['warm', 'tof', 'goed']",3,0.04057372,"['ambetant', 'ambetant', 'slecht_gezind']",3,"['ambetant', 'slecht_gezind']",2,0.080416696,6,3,"['goed', 'warm', 'tof']",1.098612289,3,2,"['slecht_gezind', 'ambetant']",0.636514168,1,117,3.42,0
179067,!jukj haum,14360997,1694368876,1,24,23,"['leuk', 'dankbaar']",2,"['leuk', 'dankbaar']",2,0.141644138,[],0,[],0,,2,2,"['dankbaar', 'leuk']",0.693147181,0,0,[],0,1,29,10.34,0
179067,!jukj haum,14363208,1694376685,1,11,-23,"['gezellig', 'gemak', 'tof']",3,"['gezellig', 'gemak', 'tof']",3,0.07605859,[],0,[],0,,3,3,"['gemak', 'gezellig', 'tof']",1.098612289,0,0,[],0,1,21,4.76,4.76
179067,!jukj haum,14370285,1694429287,1,3,13,"['wakker', 'top']",2,"['wakker', 'top']",2,0.098510757,[],0,[],0,,2,2,"['wakker', 'top']",0.693147181,0,0,[],0,1,38,2.63,0
179067,!jukj haum,14372709,1694440661,1,11,-28,['vrij'],1,['vrij'],1,,['stress'],1,['stress'],1,,1,1,['vrij'],0,1,1,['stress'],0,1,49,2.04,4.08
179067,!jukj haum,14373711,1694447543,0,15,-15,"['blij', 'goed', 'blij', 'leuk', 'blij', 'content']",6,"['blij', 'goed', 'leuk', 'content']",4,0.045068846,[],0,[],0,,6,4,"['goed', 'leuk', 'content', 'blij']",1.242453325,0,0,[],0,1,207,1.93,0
179067,!jukj haum,14377203,1694466750,1,-25,-36,['goed'],1,['goed'],1,,['spijtig'],1,['spijtig'],1,,1,1,['goed'],0,1,1,['spijtig'],0,1,23,4.35,0
179067,!jukj haum,14386266,1694516955,0,-26,-30,"['ça_va', 'goed', 'gelukkig', 'goed']",4,"['ça_va', 'goed', 'gelukkig']",3,0.091886225,"['bezorgdheid', 'frustratie', 'frustratie', 'verliezen']",4,"['bezorgdheid', 'frustratie', 'verliezen']",3,0.047149766,4,3,"['goed', 'ça_va', 'gelukkig']",1.039720771,4,3,"['verliezen', 'frustratie', 'bezorgdheid']",1.039720771,1,182,3.85,1.1
179067,!jukj haum,14387577,1694522937,0,13,10,"['productief', 'content', 'zin']",3,"['productief', 'content', 'zin']",3,0.11385625,"['spanning', 'stress']",2,"['spanning', 'stress']",2,0.047954395,3,3,"['zin', 'productief', 'content']",1.098612289,2,2,"['stress', 'spanning']",0.693147181,1,132,0,2.27
179067,!jukj haum,14389212,1694540578,1,24,9,['goed'],1,['goed'],1,,[],0,[],0,,1,1,['goed'],0,0,0,[],0,1,21,4.76,0
179067,!jukj haum,14392122,1694553612,1,6,-16,['warm'],1,['warm'],1,,"['raken', 'frustreren']",2,"['raken', 'frustreren']",2,0.117488799,1,1,['warm'],0,2,2,"['frustreren', 'raken']",0.693147181,1,28,3.57,3.57
179067,!jukj haum,14401335,1694607178,1,25,25,"['rustig', 'interessant', 'goed', 'rust']",4,"['rustig', 'interessant', 'goed', 'rust']",4,0.08757351,[],0,[],0,,4,4,"['rust', 'interessant', 'goed', 'rustig']",1.386294361,0,0,[],0,1,33,6.06,0
179067,!jukj haum,14403765,1694613461,0,18,27,['tof'],1,['tof'],1,,"['onduidelijk', 'onzekerheid']",2,"['onduidelijk', 'onzekerheid']",2,0.087940716,1,1,['tof'],0,2,2,"['onzekerheid', 'onduidelijk']",0.693147181,1,150,0,1.33
179067,!jukj haum,14406330,1694632808,0,19,24,"['productief', 'blij', 'zeker', 'content', 'goed', 'blij']",6,"['productief', 'blij', 'zeker', 'content', 'goed']",5,0.045331207,[],0,[],0,,6,5,"['productief', 'goed', 'content', 'blij', 'zeker']",1.560710409,0,0,[],0,1,162,3.09,0
179067,!jukj haum,14411346,1694646447,1,-24,-20,[],0,[],0,,"['frustreren', 'frustreren']",2,['frustreren'],1,0.062537436,0,0,[],0,2,1,['frustreren'],0,1,31,3.23,6.45
179067,!jukj haum,14420031,1694689901,0,-28,-13,['wakker'],1,['wakker'],1,,"['slecht', 'triestig']",2,"['slecht', 'triestig']",2,0.174576718,1,1,['wakker'],0,2,2,"['slecht', 'triestig']",0.693147181,1,102,0,1.96
179067,!jukj haum,14421531,1694694791,0,7,-14,"['goed', 'goed']",2,['goed'],1,0.104773106,"['twijfel', 'verdriet', 'kop_zorg', 'slecht']",4,"['twijfel', 'verdriet', 'kop_zorg', 'slecht']",4,0.055056401,2,1,['goed'],0,4,4,"['slecht', 'kop_zorg', 'twijfel', 'verdriet']",1.386294361,1,135,2.22,2.22
179067,!jukj haum,14423658,1694706947,0,18,18,"['moed', 'ça_va', 'vrij', 'ontspanning']",4,"['moed', 'ça_va', 'vrij', 'ontspanning']",4,0.067097279,['slecht'],1,['slecht'],1,,4,4,"['vrij', 'moed', 'ontspanning', 'ça_va']",1.386294361,1,1,['slecht'],0,1,137,2.92,0.73
179067,!jukj haum,14428833,1694725711,1,22,23,"['leuk', 'blij']",2,"['leuk', 'blij']",2,0.098590731,[],0,[],0,,2,2,"['leuk', 'blij']",0.693147181,0,0,[],0,1,30,13.33,0
179067,!jukj haum,14437431,1694769476,1,-11,20,[],0,[],0,,"['boos', 'lastig']",2,"['boos', 'lastig']",2,0.06442372,0,0,[],0,2,2,"['lastig', 'boos']",0.693147181,1,36,0,5.56
179067,!jukj haum,14441253,1694785670,0,-29,13,"['warm', 'leuk', 'normaal', 'hoop']",4,"['warm', 'leuk', 'normaal', 'hoop']",4,0.068149266,"['kapot', 'kut', 'slecht', 'slecht', 'frustreren', 'frustratie', 'slecht']",7,"['kapot', 'kut', 'slecht', 'frustreren', 'frustratie']",5,0.023543478,4,4,"['hoop', 'leuk', 'warm', 'normaal']",1.386294361,7,5,"['slecht', 'kapot', 'kut', 'frustratie', 'frustreren']",1.475076311,1,117,2.56,4.27
179067,!jukj haum,14442978,1694796388,1,-11,-18,['productief'],1,['productief'],1,,['verschrikkelijk'],1,['verschrikkelijk'],1,,1,1,['productief'],0,1,1,['verschrikkelijk'],0,1,19,5.26,5.26
179067,!jukj haum,14446935,1694808480,1,24,34,"['gezellig', 'dankbaar']",2,"['gezellig', 'dankbaar']",2,0.11401061,[],0,[],0,,2,2,"['gezellig', 'dankbaar']",0.693147181,0,0,[],0,1,29,3.45,0
179067,!jukj haum,14455980,1694856302,0,19,-43,"['uit_rusten', 'tof', 'vrij', 'oké', 'zin']",5,"['uit_rusten', 'tof', 'vrij', 'oké', 'zin']",5,0.052243004,"['moe', 'moe']",2,['moe'],1,0.022126837,5,5,"['zin', 'uit_rusten', 'vrij', 'tof', 'oké']",1.609437912,2,1,['moe'],0,1,125,1.6,0
179067,!jukj haum,14459466,1694873618,1,15,22,[],0,[],0,,[],0,[],0,,0,0,[],0,0,0,[],0,1,33,0,3.03
179067,!jukj haum,14460432,1694887708,1,21,17,"['leuk', 'hopen']",2,"['leuk', 'hopen']",2,0.105630485,['honger'],1,['honger'],1,,2,2,"['leuk', 'hopen']",0.693147181,1,1,['honger'],0,1,28,3.57,0
179067,!jukj haum,14464566,1694893723,1,22,25,"['blij', 'gezond']",2,"['blij', 'gezond']",2,0.154248835,[],0,[],0,,2,2,"['gezond', 'blij']",0.693147181,0,0,[],0,1,35,2.86,0
179067,!jukj haum,14475798,1694945947,1,26,30,"['heerlijk', 'heerlijk', 'goed', 'opgewekt']",4,"['heerlijk', 'goed', 'opgewekt']",3,0.0618849,[],0,[],0,,4,3,"['heerlijk', 'opgewekt', 'goed']",1.039720771,0,0,[],0,1,23,8.7,0
179067,!jukj haum,14478414,1694961720,1,25,26,"['leuk', 'op_peppen']",2,"['leuk', 'op_peppen']",2,0.121862658,[],0,[],0,,2,2,"['leuk', 'op_peppen']",0.693147181,0,0,[],0,1,17,5.88,0
179067,!jukj haum,14481462,1694973639,1,26,23,['zen'],1,['zen'],1,,[],0,[],0,,1,1,['zen'],0,0,0,[],0,1,27,0,3.7
179067,!jukj haum,14485620,1694986631,1,21,26,['leuk'],1,['leuk'],1,,['langdradig'],1,['langdradig'],1,,1,1,['leuk'],0,1,1,['langdradig'],0,1,34,5.88,0
179067,!jukj haum,14495730,1695031394,1,26,40,"['rustig', 'goed']",2,"['rustig', 'goed']",2,0.10161327,['vervelen'],1,['vervelen'],1,,2,2,"['goed', 'rustig']",0.693147181,1,1,['vervelen'],0,1,51,5.88,1.96
179067,!jukj haum,14501404,1695050774,0,38,48,"['tof', 'tof', 'content', 'capabel']",4,"['tof', 'content', 'capabel']",3,0.054745536,[],0,[],0,,4,3,"['capabel', 'content', 'tof']",1.039720771,0,0,[],0,1,171,2.34,1.17
179067,!jukj haum,14502637,1695052709,1,29,32,"['goed', 'blij']",2,"['goed', 'blij']",2,0.169926087,['spijtig'],1,['spijtig'],1,,2,2,"['goed', 'blij']",0.693147181,1,1,['spijtig'],0,1,37,2.7,0
179067,!jukj haum,14510575,1695068169,1,50,35,"['leuk', 'samenhorigheid', 'leuk']",3,"['leuk', 'samenhorigheid']",2,0.057191229,[],0,[],0,,3,2,"['samenhorigheid', 'leuk']",0.636514168,0,0,[],0,1,39,5.13,0
179067,!jukj haum,14524171,1695124945,1,5,-12,['blij'],1,['blij'],1,,['slecht'],1,['slecht'],1,,1,1,['blij'],0,1,1,['slecht'],0,1,38,2.63,2.63
179067,!jukj haum,14528371,1695135884,1,24,-18,['gelukkig'],1,['gelukkig'],1,,['stress'],1,['stress'],1,,1,1,['gelukkig'],0,1,1,['stress'],0,1,41,7.32,2.44
179067,!jukj haum,14530477,1695144122,1,-40,-31,['goed'],1,['goed'],1,,['onzeker'],1,['onzeker'],1,,1,1,['goed'],0,1,1,['onzeker'],0,1,34,2.94,5.88
179067,!jukj haum,14536663,1695152187,0,13,17,"['tof', 'content', 'chillen', 'relaxen', 'ontspannen', 'genieten', 'zen']",7,"['tof', 'content', 'chillen', 'relaxen', 'ontspannen', 'genieten', 'zen']",7,0.025970746,[],0,[],0,,7,7,"['genieten', 'zen', 'content', 'tof', 'chillen', 'ontspannen', 'relaxen']",1.945910149,0,0,[],0,1,144,2.08,1.39
179067,!jukj haum,14551051,1695206456,1,27,29,[],0,[],0,,[],0,[],0,,0,0,[],0,0,0,[],0,1,32,3.13,0
179067,!jukj haum,14555350,1695225238,1,-21,-31,"['positief', 'opgewekt']",2,"['positief', 'opgewekt']",2,0.07889166,[],0,[],0,,2,2,"['opgewekt', 'positief']",0.693147181,0,0,[],0,1,34,2.94,2.94
179067,!jukj haum,14565979,1695245278,0,-10,-12,"['goed', 'blij', 'vieren', 'vrij', 'goed']",5,"['goed', 'blij', 'vieren', 'vrij']",4,0.070481429,"['breken', 'spanning', 'triestig', 'gevoelig']",4,"['breken', 'spanning', 'triestig', 'gevoelig']",4,0.05755539,5,4,"['vieren', 'goed', 'vrij', 'blij']",1.33217904,4,4,"['triestig', 'breken', 'gevoelig', 'spanning']",1.386294361,1,170,2.35,1.18
179067,!jukj haum,14583637,1695299836,1,33,50,"['heerlijk', 'energiek']",2,"['heerlijk', 'energiek']",2,0.084921111,[],0,[],0,,2,2,"['heerlijk', 'energiek']",0.693147181,0,0,[],0,1,18,16.67,0
179067,!jukj haum,14590987,1695320319,1,27,27,[],0,[],0,,['ambetant'],1,['ambetant'],1,,0,0,[],0,1,1,['ambetant'],0,1,54,0,0
179067,!jukj haum,14595439,1695327115,1,16,14,"['lekker', 'leuk']",2,"['lekker', 'leuk']",2,0.081698825,[],0,[],0,,2,2,"['leuk', 'lekker']",0.693147181,0,0,[],0,1,33,6.06,0
179067,!jukj haum,14609308,1695377562,1,41,41,"['heerlijk', 'wakker', 'gezellig', 'verliefd']",4,"['heerlijk', 'wakker', 'gezellig', 'verliefd']",4,0.063621461,[],0,[],0,,4,4,"['heerlijk', 'gezellig', 'wakker', 'verliefd']",1.386294361,0,0,[],0,1,38,5.26,0
179067,!jukj haum,14613523,1695389272,1,-15,-17,['blij'],1,['blij'],1,,['frustreren'],1,['frustreren'],1,,1,1,['blij'],0,1,1,['frustreren'],0,1,21,4.76,4.76
179067,!jukj haum,14618767,1695401589,1,27,34,['blij'],1,['blij'],1,,['stress'],1,['stress'],1,,1,1,['blij'],0,1,1,['stress'],0,1,27,3.7,3.7
179067,!jukj haum,14630143,1695420991,1,50,50,"['fijn', 'happy']",2,"['fijn', 'happy']",2,0.063541569,[],0,[],0,,2,2,"['happy', 'fijn']",0.693147181,0,0,[],0,1,22,0,0
179067,!jukj haum,14641783,1695489975,1,-21,-18,['oké'],1,['oké'],1,,['stress'],1,['stress'],1,,1,1,['oké'],0,1,1,['stress'],0,1,59,0,5.08
179067,!jukj haum,14651941,1695490236,1,-15,-14,[],0,[],0,,"['stress', 'verslaan']",2,"['stress', 'verslaan']",2,0.140360462,0,0,[],0,2,2,"['stress', 'verslaan']",0.693147181,1,42,2.38,2.38
179067,!jukj haum,14658289,1695502470,1,38,-17,"['overheerlijk', 'interessant', 'gezellig', 'fijn']",4,"['overheerlijk', 'interessant', 'gezellig', 'fijn']",4,0.057213225,[],0,[],0,,4,4,"['interessant', 'gezellig', 'fijn', 'overheerlijk']",1.386294361,0,0,[],0,1,26,3.85,0
179067,!jukj haum,14666875,1695502864,1,35,48,['zin'],1,['zin'],1,,[],0,[],0,,1,1,['zin'],0,0,0,[],0,1,18,0,0
179067,!jukj haum,14680159,1695554173,1,50,50,"['leuk', 'goed', 'verliefd']",3,"['leuk', 'goed', 'verliefd']",3,0.077700276,[],0,[],0,,3,3,"['goed', 'leuk', 'verliefd']",1.098612289,0,0,[],0,1,31,9.68,0
179067,!jukj haum,14685328,1695561821,1,22,22,['goed'],1,['goed'],1,,"['stress', 'frustratie']",2,"['stress', 'frustratie']",2,0.039569317,1,1,['goed'],0,2,2,"['stress', 'frustratie']",0.693147181,1,39,2.56,5.13
179067,!jukj haum,14692036,1695575800,1,24,31,['blij'],1,['blij'],1,,[],0,[],0,,1,1,['blij'],0,0,0,[],0,1,33,9.09,0
179067,!jukj haum,14701393,1695589171,0,-50,-50,[],0,[],0,,"['stress', 'stress', 'kwaad', 'stress']",4,"['stress', 'kwaad']",2,0.055863748,0,0,[],0,4,2,"['stress', 'kwaad']",0.562335145,1,189,0,2.65
179067,!jukj haum,14714323,1695640754,1,-24,-35,['goed'],1,['goed'],1,,['boos'],1,['boos'],1,,1,1,['goed'],0,1,1,['boos'],0,1,48,2.08,2.08
179067,!jukj haum,14718022,1695655721,1,-11,-13,[],0,[],0,,['slecht'],1,['slecht'],1,,0,0,[],0,1,1,['slecht'],0,1,38,2.63,2.63
179067,!jukj haum,14721469,1695663062,1,-26,10,[],0,[],0,,[],0,[],0,,0,0,[],0,0,0,[],0,1,38,0,0
179067,!jukj haum,14724601,1695671592,1,-8,-7,[],0,[],0,,['ziek'],1,['ziek'],1,,0,0,[],0,1,1,['ziek'],0,1,31,0,3.23
